bmi_exomewide_16,bmi_exomewide_negative,bmi_exomewide_positive,epi25_dee_damaging_missense_bonferroni,epi25_dee_damaging_missense_fdr05,epi25_dee_ptv_bonferroni,epi25_dee_ptv_fdr05,epi25_epi_damaging_missense_bonferroni,epi25_epi_damaging_missense_fdr05,epi25_epi_ptv_bonferroni,epi25_epi_ptv_fdr05,epi25_gge_damaging_missense_bonferroni,epi25_gge_damaging_missense_fdr05,epi25_gge_ptv_fdr05,epi25_nafe_ptv_bonferroni,epi25_nafe_ptv_fdr05,height_207_gene_p,height_singleton_plof,height_singleton_plof_negative,height_singleton_plof_positive,legacy_ddg2p_all,legacy_ddg2p_confident,legacy_fu_asd185,legacy_fu_asd72,legacy_fu_dd309,legacy_fu_dd477,legacy_fu_ndd373,legacy_fu_ndd664,legacy_satterstrom102,legacy_schema_fdr05,legacy_schema_sig,legacy_sfari_all,legacy_sfari_hc,legacy_sfari_score1,legacy_sfari_score12,panelapp_epilepsy_all,panelapp_epilepsy_green,panelapp_intellectual_disability_all,panelapp_intellectual_disability_green,schema_2022_exomewide_10,schema_phase2_2026-04-23_bonferroni,schema_phase2_2026-04-23_fdr05,schema_phase2_2026-05-07_bonferroni,schema_phase2_2026-05-07_fdr05,schema_phase2_2026-05-26_bonferroni,schema_phase2_2026-05-26_fdr05,schema_phase2_2026-07-15_bonferroni,schema_phase2_2026-07-15_fdr05,schema_phase2_2026-08-07_bonferroni,schema_phase2_2026-08-07_fdr05,schema_phase2_2026-08-21_bonferroni,schema_phase2_2026-08-21_fdr05,sfari_all_scored,sfari_score_1,sfari_score_2,sfari_score_3,sfari_syndromic
,,,,,,,,,,,,,,,,ASH1L,,,,ACAT1,ACP5,BRSK2,DSCAM,ATP1A3,ARF1,ASXL1,ANKRD12,DSCAM,,,ADK,APH1A,BAZ2B,AFF2,AGMO,ALG3,ACADM,ACTG1,,,IQSEC1,,IQSEC1,,KCNN3,,KCNN3,,KCNN3,,KCNN3,ADORA2A,AUTS2,AGO1,BSN,ARX
,,,,,,,,,,,,,,,,ASPN,,,,ACBD5,ACSL4,BTG3,DYNC1H1,ATP2B2,ARHGAP35,ASXL2,AP1G1,DYNC1H1,,,ADNP,ARHGAP11B,BCKDK,AGAP1,AGO1,ALG6,ACADS,ACTL6A,,,JARID2,,JARID2,,KDM5B,,KDM5B,,KDM5B,,KDM5B,ADORA3,BAZ2B,AGO2,CACNB1,ASXL3
,,,,,,,,,,,,,,,,B3GNT8,,,,ACBD6,ACTA1,C16ORF72,DYRK1A,ATP6V0A1,ARID1A,ASXL3,AP2S1,DYRK1A,,,ADORA2A,ARHGAP5,BCL11A,AGAP2,AIMP1,ALG8,ACADSB,ACTL6B,,,KCNN3,,KCNN3,,LRP1,,LRP1,,LRP1,,LRP1,ADRB2,BCKDK,AGO3,CAMK2D,ATP1A1
,,,,,,,,,,,,,,,,B4GALNT3,,,,ACER3,ACTA2,CACNA1D,EBF3,ATP6V1A,ARID1B,ATF2,AP3B2,EIF3G,,,ADORA3,ASB14,BRAF,AGBL4,AIMP2,ALG9,ACADVL,ACY1,,,KDM5B,,KDM5B,,LRRC4,,LRRC4,,LRRC4,,LRRC4,ADSL,BCL11A,AGO4,CAPZA2,ATP1A3
,,,,,,,,,,,,,,,,BMP6,,,,ACO2,ACTB,CACNA1E,EHMT1,AUTS2,ARID2,ATP1A2,AP3D1,ELAVL3,,,ADRB2,ASH1L,BRSK2,AGMO,AJAP1,ALKBH8,ACAN,ADAM22,,,LRP1,,LRP1,,NLGN2,,NLGN2,,NLGN2,,NLGN2,ADSS2,BRAF,AGTR2,CAT,ATP2B1
,,,,,,,,,,,,,,,,C2CD4A,,,,ACOX1,ACTG1,CAMK2A,FOXP1,BAP1,ARIH1,ATP1A3,APBB1,FOXP1,,,ADSL,ATP6V0A2,CACNA1A,AGO1,AKT1,ALPL,ACAT1,ADAR,,,LRRC4,,LRRC4,,NRXN1,,NRXN1,,NRXN1,,NRXN1,AFF2,BRSK2,AHNAK,CBX1,ATP9A
,,,,,,,,,,,,,,,,CCAR1,,,,ACP5,ACVR1,CAMTA2,GABRA1,BCL11A,ASH1L,ATP2B2,ARCN1,FOXP2,,,ADSS2,BAZ2B,CACNA1C,AGO2,AKT3,AMPD2,ACBD6,ADARB1,,,NLGN2,,NLGN2,,PCNX3,,PCNX3,,PCNX3,,PCNX3,AGAP1,CACNA1A,AKAP9,CBX4,BCL11A
,,,,,,,,,,,,,,,,CCDC3,,,,ACSL4,ACY1,CAPRIN1,GIGYF1,BCL11B,ASXL1,ATP6V0A1,ARF1,GABRB2,,,AFF2,BCAS1,CACNA1E,AGO3,ALDH5A1,AMT,ACE2,ADAT3,,,NRXN1,,NRXN1,,PHIP,,PHIP,,PHIP,,PHIP,AGAP2,CACNA1C,AMPD1,CDC42BPA,BCORL1
,,,,,,,,,,,,,,,,CDC23,,,,ACTA1,ADA,CASKIN1,GRIN2B,BICD2,ASXL2,ATP6V1A,ARF3,GABRB3,,,AGAP1,BCKDK,CACNA2D3,AGO4,ALDH7A1,ANK2,ACER3,ADD1,,,PCNX3,,PCNX3,,PPFIA4,,PPFIA4,,PPFIA4,,PPFIA4,AGAP5,CACNA1E,AMT,CDH2,BICRA
,,,,,,,,,,,,,,,,CDK6,,,,ACTA2,ADAM22,CDK13,IRF2BPL,BRAF,ASXL3,AUTS2,ARHGAP32,GFAP,,,AGAP2,BICDL1,CAMK2A,AGTR2,ALG1,ANKRD11,ACIN1,ADD3,,,PHIP,,PHIP,,PPP3CA,,PPP3CA,,PPP3CA,,PPP3CA,AGBL4,CACNA2D3,ANKRD17,CDK19,BRAF
,,,,,,,,,,,,,,,,CHAD,,,,ACTB,ADAMTS19,CELF1,KCNB1,BRPF1,ATF2,BAI1,ARHGAP35,GIGYF1,,,AGAP5,BIRC6,CAMTA2,AHDC1,ALG11,ANO4,ACO2,ADGRG1,,,PPFIA4,,PPFIA4,,PTK2,,PTK2,,PTK2,,PTK2,AGMO,CAMK2A,ANKS1B,CDK5RAP2,BRSK2
,,,,,,,,,,,,,,,,CHD8,,,,ACTC1,ADAMTS9,CELF2,KCNMA1,CACNA1A,ATP1A2,BAP1,ARID1A,GNAI1,,,AGBL4,BTRC,CAPRIN1,AHNAK,ALG12,AP1G1,ACOT9,ADGRL1,,,PPP3CA,,PPP3CA,,RB1CC1,,RB1CC1,,RB1CC1,,RB1CC1,AGO1,CAMTA2,ANXA1,CDON,BRWD3
,,,,,,,,,,,,,,,,CLEC11A,,,,ACTG1,ADAMTSL2,CGREF1,KCNQ3,CACNA1C,ATP1A3,BCL11A,ARID1B,GRIA2,,,AGMO,C15ORF62,CASK,AKAP9,ALG13,AP2M1,ACOX1,ADK,,,PTK2,,PTK2,,RFX3,,RFX3,,RFX3,,RFX3,AGO2,CAPRIN1,AP2M1,CERT1,C12ORF57
,,,,,,,,,,,,,,,,CLEC3A,,,,ACTL6B,ADAR,CHD2,KDM5B,CACNA1E,ATP2B1,BCL11B,ARID2,GRIN2B,,,AGO1,CA6,CASZ1,ALDH5A1,ALG14,AP3B2,ACOX2,ADNP,,,RB1CC1,,RB1CC1,,SCAF1,,SCAF1,,SCAF1,,SCAF1,AGO3,CASK,APBA2,CHD4,CACNA1A
,,,,,,,,,,,,,,,,CNNM3,,,,ACVR1,ADCY5,CHD3,KDM6B,CACNA1G,ATP2B2,BICD2,ARID5B,HDLBP,,,AGO2,CACNA1E,CDKL5,AMPD1,ALG2,APC2,ACP5,ADSL,,,RFX3,,RFX3,,SCN2A,,SCN2A,,SCN2A,,SCN2A,AGO4,CASZ1,APBB1,CHD9,CACNA1C
,,,,,,,,,,,,,,,,CNPY2,,,,ACVR2B,ADGRG1,CHD8,KMT2A,CAMK2B,ATP6V0A1,BRAF,ARIH1,HECTD4,,,AGO3,CACNA1H,CELF4,AMT,ALG3,ARF1,ACSF3,AFF2,,,SCAF1,,SCAF1,,SETD1A,,SETD1A,,SETD1A,,SETD1A,AGTR2,CDKL5,APH1A,CHM,CAMK2A
,,,,,,,,,,,,,,,,COL16A1,,,,ACY1,ADGRG6,CORO1A,KMT2C,CAMK2G,ATP6V1A,BRD3,ASH1L,IRF2BPL,,,AGO4,CACNB2,CHAMP1,ANK2,ALG6,ARF3,ACSL4,AFF3,,,SCN2A,,SCN2A,,SLC17A8,,SLC17A8,,SLC17A8,,SLC17A8,AHDC1,CELF4,AR,CHST2,CAMK2B
,,,,,,,,,,,,,,,,COL1A1,,,,ADA,ADNP,CREBBP,MBD5,CAMTA1,ATP6V1B2,BRD4,ASXL1,KCNMA1,,,AGTR2,CACNG2,CHD2,ANK3,ALG8,ARFGEF1,ACTA2,AFF4,,,SETD1A,,SETD1A,,SLC27A3,,SLC27A3,,SLC27A3,,SLC27A3,AHNAK,CHAMP1,ARHGAP11B,CLIP2,CAMK2D
