bmi_exomewide_16,bmi_exomewide_negative,bmi_exomewide_positive,epi25_dee_damaging_missense_bonferroni,epi25_dee_damaging_missense_fdr05,epi25_dee_ptv_bonferroni,epi25_dee_ptv_fdr05,epi25_epi_damaging_missense_bonferroni,epi25_epi_damaging_missense_fdr05,epi25_epi_ptv_bonferroni,epi25_epi_ptv_fdr05,epi25_gge_damaging_missense_bonferroni,epi25_gge_damaging_missense_fdr05,epi25_gge_ptv_fdr05,epi25_nafe_ptv_bonferroni,epi25_nafe_ptv_fdr05,height_207_gene_p,height_singleton_plof,height_singleton_plof_negative,height_singleton_plof_positive,legacy_ddg2p_all,legacy_ddg2p_confident,legacy_fu_asd185,legacy_fu_asd72,legacy_fu_dd309,legacy_fu_dd477,legacy_fu_ndd373,legacy_fu_ndd664,legacy_satterstrom102,legacy_schema_fdr05,legacy_schema_sig,legacy_sfari_all,legacy_sfari_hc,legacy_sfari_score1,legacy_sfari_score12,panelapp_epilepsy_all,panelapp_epilepsy_green,panelapp_intellectual_disability_all,panelapp_intellectual_disability_green,schema_2022_exomewide_10,schema_phase2_2026-04-23_bonferroni,schema_phase2_2026-04-23_fdr05,schema_phase2_2026-05-07_bonferroni,schema_phase2_2026-05-07_fdr05,schema_phase2_2026-05-26_bonferroni,schema_phase2_2026-05-26_fdr05,schema_phase2_2026-07-15_bonferroni,schema_phase2_2026-07-15_fdr05,schema_phase2_2026-08-07_bonferroni,schema_phase2_2026-08-07_fdr05,schema_phase2_2026-08-21_bonferroni,schema_phase2_2026-08-21_fdr05,sfari_all_scored,sfari_score_1,sfari_score_2,sfari_score_3,sfari_syndromic
,,,,,,,,,,,,,,,,,,,,HIVEP2,NLGN3,,,,,,,,,,SHANK1,,,,,,GBA2,PLAA,,,,,,,,,,,,,,SND1,,,,
,,,,,,,,,,,,,,,,,,,,HK1,NLGN4X,,,,,,,,,,SHANK2,,,,,,GBE1,PLCB1,,,,,,,,,,,,,,SNTG2,,,,
,,,,,,,,,,,,,,,,,,,,HLCS,NMNAT1,,,,,,,,,,SHANK3,,,,,,GCDH,PLEKHG2,,,,,,,,,,,,,,SNX5,,,,
,,,,,,,,,,,,,,,,,,,,HMGB1,NODAL,,,,,,,,,,SHOX,,,,,,GCH1,PLK1,,,,,,,,,,,,,,SOD1,,,,
,,,,,,,,,,,,,,,,,,,,HMGB3,NOG,,,,,,,,,,SIK1,,,,,,GCK,PLK4,,,,,,,,,,,,,,SON,,,,
,,,,,,,,,,,,,,,,,,,,HMGCL,NONO,,,,,,,,,,SIN3A,,,,,,GCSH,PLP1,,,,,,,,,,,,,,SORCS3,,,,
,,,,,,,,,,,,,,,,,,,,HMGCR,NOTCH1,,,,,,,,,,SIN3B,,,,,,GDAP1,PLPBP,,,,,,,,,,,,,,SOS2,,,,
,,,,,,,,,,,,,,,,,,,,HMGCS2,NOTCH2,,,,,,,,,,SKI,,,,,,GDF5,PLXNA1,,,,,,,,,,,,,,SOX5,,,,
,,,,,,,,,,,,,,,,,,,,HMX1,NOVA2,,,,,,,,,,SLC12A5,,,,,,GDF6,PLXNB2,,,,,,,,,,,,,,SPARCL1,,,,
,,,,,,,,,,,,,,,,,,,,HNF1B,NPC1,,,,,,,,,,SLC1A1,,,,,,GDI1,PMM2,,,,,,,,,,,,,,SPAST,,,,
,,,,,,,,,,,,,,,,,,,,HNF4A,NPC2,,,,,,,,,,SLC1A2,,,,,,GEMIN4,PMPCB,,,,,,,,,,,,,,SPEN,,,,
,,,,,,,,,,,,,,,,,,,,HNRNPA2B1,NPHP1,,,,,,,,,,SLC22A15,,,,,,GEMIN5,PNKP,,,,,,,,,,,,,,SPP2,,,,
,,,,,,,,,,,,,,,,,,,,HNRNPD,NPHP3,,,,,,,,,,SLC22A9,,,,,,GFAP,PNPLA6,,,,,,,,,,,,,,SPRY2,,,,
,,,,,,,,,,,,,,,,,,,,HNRNPH1,NPHP4,,,,,,,,,,SLC23A1,,,,,,GFER,PNPLA8,,,,,,,,,,,,,,SPTAN1,,,,
,,,,,,,,,,,,,,,,,,,,HNRNPH2,NPHS1,,,,,,,,,,SLC24A2,,,,,,GFM1,PNPT1,,,,,,,,,,,,,,SPTBN1,,,,
,,,,,,,,,,,,,,,,,,,,HNRNPK,NPHS2,,,,,,,,,,SLC25A12,,,,,,GHR,POGZ,,,,,,,,,,,,,,SRCAP,,,,
,,,,,,,,,,,,,,,,,,,,HNRNPR,NPM1,,,,,,,,,,SLC25A27,,,,,,GIGYF1,POLA1,,,,,,,,,,,,,,SRGAP3,,,,
,,,,,,,,,,,,,,,,,,,,HNRNPU,NPR2,,,,,,,,,,SLC25A39,,,,,,GIGYF2,POLG,,,,,,,,,,,,,,SRPRA,,,,
,,,,,,,,,,,,,,,,,,,,HOXA1,NPR3,,,,,,,,,,SLC27A4,,,,,,GJA1,POLR1C,,,,,,,,,,,,,,SRRM2,,,,
,,,,,,,,,,,,,,,,,,,,HOXA11,NPRL2,,,,,,,,,,SLC29A4,,,,,,GJA3,POLR2A,,,,,,,,,,,,,,SRSF1,,,,
,,,,,,,,,,,,,,,,,,,,HOXA13,NPRL3,,,,,,,,,,SLC35B1,,,,,,GJA8,POLR3A,,,,,,,,,,,,,,SRSF11,,,,
,,,,,,,,,,,,,,,,,,,,HOXB1,NR2F1,,,,,,,,,,SLC35G1,,,,,,GJB1,POLR3B,,,,,,,,,,,,,,SSR4,,,,
,,,,,,,,,,,,,,,,,,,,HOXC13,NR2F2,,,,,,,,,,SLC38A10,,,,,,GJB2,POLRMT,,,,,,,,,,,,,,SSRP1,,,,
,,,,,,,,,,,,,,,,,,,,HOXD13,NR4A2,,,,,,,,,,SLC45A1,,,,,,GJB3,POMGNT1,,,,,,,,,,,,,,ST7,,,,
,,,,,,,,,,,,,,,,,,,,HPD,NRAS,,,,,,,,,,SLC4A10,,,,,,GJC2,POMGNT2,,,,,,,,,,,,,,ST8SIA2,,,,
,,,,,,,,,,,,,,,,,,,,HPDL,NRROS,,,,,,,,,,SLC6A1,,,,,,GK,POMT1,,,,,,,,,,,,,,STK39,,,,
,,,,,,,,,,,,,,,,,,,,HPGD,NRXN1,,,,,,,,,,SLC6A3,,,,,,GLB1,POMT2,,,,,,,,,,,,,,STX1A,,,,
,,,,,,,,,,,,,,,,,,,,HPRT1,NSD1,,,,,,,,,,SLC6A4,,,,,,GLDC,PORCN,,,,,,,,,,,,,,STXBP1,,,,
,,,,,,,,,,,,,,,,,,,,HPS1,NSD2,,,,,,,,,,SLC6A8,,,,,,GLE1,POU3F2,,,,,,,,,,,,,,STXBP5,,,,
,,,,,,,,,,,,,,,,,,,,HPSE2,NSDHL,,,,,,,,,,SLC7A3,,,,,,GLI2,POU3F3,,,,,,,,,,,,,,STYK1,,,,
,,,,,,,,,,,,,,,,,,,,HR,NSUN2,,,,,,,,,,SLC7A5,,,,,,GLI3,PPFIBP1,,,,,,,,,,,,,,SUPT16H,,,,
,,,,,,,,,,,,,,,,,,,,HRAS,NT5C3A,,,,,,,,,,SLC7A7,,,,,,GLIS3,PPIL1,,,,,,,,,,,,,,SYAP1,,,,
,,,,,,,,,,,,,,,,,,,,HS2ST1,NTRK1,,,,,,,,,,SLC9A1,,,,,,GLMN,PPM1D,,,,,,,,,,,,,,SYBU,,,,
,,,,,,,,,,,,,,,,,,,,HSD17B10,NTRK2,,,,,,,,,,SLC9A6,,,,,,GLRA1,PPOX,,,,,,,,,,,,,,SYCE1,,,,
,,,,,,,,,,,,,,,,,,,,HSD17B4,NUBPL,,,,,,,,,,SLC9A9,,,,,,GLRA2,PPP1CB,,,,,,,,,,,,,,SYN1,,,,
,,,,,,,,,,,,,,,,,,,,HSD3B7,NUDT2,,,,,,,,,,SLCO1B3,,,,,,GLS,PPP1R12A,,,,,,,,,,,,,,SYN2,,,,
,,,,,,,,,,,,,,,,,,,,HSF4,NUP133,,,,,,,,,,SLFN5,,,,,,GLUD1,PPP1R15B,,,,,,,,,,,,,,SYNCRIP,,,,
,,,,,,,,,,,,,,,,,,,,HSPD1,NUP214,,,,,,,,,,SLITRK2,,,,,,GLUL,PPP1R21,,,,,,,,,,,,,,SYNE1,,,,
,,,,,,,,,,,,,,,,,,,,HSPG2,NUP62,,,,,,,,,,SLITRK5,,,,,,GLYCTK,PPP1R3F,,,,,,,,,,,,,,SYNGAP1,,,,
,,,,,,,,,,,,,,,,,,,,HTRA2,NUS1,,,,,,,,,,SMAD4,,,,,,GM2A,PPP2CA,,,,,,,,,,,,,,SYNJ1,,,,
,,,,,,,,,,,,,,,,,,,,HUWE1,NYX,,,,,,,,,,SMAP2,,,,,,GMNN,PPP2R1A,,,,,,,,,,,,,,SYP,,,,
,,,,,,,,,,,,,,,,,,,,HYAL1,OBSL1,,,,,,,,,,SMARCA1,,,,,,GMPPA,PPP2R2B,,,,,,,,,,,,,,SYT17,,,,
,,,,,,,,,,,,,,,,,,,,HYAL2,OCLN,,,,,,,,,,SMARCA2,,,,,,GMPPB,PPP2R5C,,,,,,,,,,,,,,TAF1C,,,,
,,,,,,,,,,,,,,,,,,,,HYCC1,OCRL,,,,,,,,,,SMARCA4,,,,,,GNAI1,PPP2R5D,,,,,,,,,,,,,,TAF4,,,,
,,,,,,,,,,,,,,,,,,,,HYDIN,ODAD1,,,,,,,,,,SMARCC2,,,,,,GNAI2,PPP3CA,,,,,,,,,,,,,,TAF6,,,,
,,,,,,,,,,,,,,,,,,,,HYLS1,ODAD2,,,,,,,,,,SMC1A,,,,,,GNAI3,PPT1,,,,,,,,,,,,,,TANC2,,,,
,,,,,,,,,,,,,,,,,,,,IARS1,ODAD3,,,,,,,,,,SMC3,,,,,,GNAL,PQBP1,,,,,,,,,,,,,,TAOK1,,,,
,,,,,,,,,,,,,,,,,,,,IARS2,ODAD4,,,,,,,,,,SMG6,,,,,,GNAO1,PRDM13,,,,,,,,,,,,,,TAOK2,,,,
,,,,,,,,,,,,,,,,,,,,IDS,ODC1,,,,,,,,,,SMURF1,,,,,,GNAS,PRICKLE2,,,,,,,,,,,,,,TBC1D31,,,,
,,,,,,,,,,,,,,,,,,,,IDUA,OFD1,,,,,,,,,,SNAP25,,,,,,GNB1,PRKAR1B,,,,,,,,,,,,,,TBC1D5,,,,
,,,,,,,,,,,,,,,,,,,,IER3IP1,OGT,,,,,,,,,,SNCAIP,,,,,,GNB2,PRMT7,,,,,,,,,,,,,,TBCB,,,,
,,,,,,,,,,,,,,,,,,,,IFIH1,ONECUT1,,,,,,,,,,SND1,,,,,,GNB5,PRPF8,,,,,,,,,,,,,,TBCEL,,,,
,,,,,,,,,,,,,,,,,,,,IFITM5,OPHN1,,,,,,,,,,SNTG2,,,,,,GNE,PRPS1,,,,,,,,,,,,,,TBCK,,,,
,,,,,,,,,,,,,,,,,,,,IFT122,ORC1,,,,,,,,,,SNX14,,,,,,GNPAT,PRR12,,,,,,,,,,,,,,TBL1X,,,,
,,,,,,,,,,,,,,,,,,,,IFT140,ORC4,,,,,,,,,,SNX5,,,,,,GNPTAB,PRSS12,,,,,,,,,,,,,,TBL1XR1,,,,
,,,,,,,,,,,,,,,,,,,,IFT172,ORC6,,,,,,,,,,SOD1,,,,,,GNPTG,PRUNE1,,,,,,,,,,,,,,TBR1,,,,
,,,,,,,,,,,,,,,,,,,,IFT43,OSGEP,,,,,,,,,,SON,,,,,,GNS,PSAP,,,,,,,,,,,,,,TBX22,,,,
,,,,,,,,,,,,,,,,,,,,IFT74,OTC,,,,,,,,,,SORCS3,,,,,,GON4L,PSMC3,,,,,,,,,,,,,,TCEAL1,,,,
,,,,,,,,,,,,,,,,,,,,IFT80,OTOGL,,,,,,,,,,SOS2,,,,,,GORAB,PSMC5,,,,,,,,,,,,,,TCF12,,,,
,,,,,,,,,,,,,,,,,,,,IGBP1,OTUD5,,,,,,,,,,SOX5,,,,,,GOSR2,PSMD12,,,,,,,,,,,,,,TCF20,,,,
,,,,,,,,,,,,,,,,,,,,IGF1,OTUD6B,,,,,,,,,,SOX6,,,,,,GOT2,PSPH,,,,,,,,,,,,,,TCF4,,,,
,,,,,,,,,,,,,,,,,,,,IGF1R,OTULIN,,,,,,,,,,SPARCL1,,,,,,GPAA1,PTBP1,,,,,,,,,,,,,,TCF7L2,,,,
,,,,,,,,,,,,,,,,,,,,IGF2,OTX2,,,,,,,,,,SPAST,,,,,,GPATCH11,PTCH1,,,,,,,,,,,,,,TDO2,,,,
,,,,,,,,,,,,,,,,,,,,IGFBP7,OXCT1,,,,,,,,,,SPEN,,,,,,GPC3,PTCHD1,,,,,,,,,,,,,,TECTA,,,,
,,,,,,,,,,,,,,,,,,,,IGHMBP2,OXR1,,,,,,,,,,SPP2,,,,,,GPC4,PTDSS1,,,,,,,,,,,,,,TEK,,,,
,,,,,,,,,,,,,,,,,,,,IGSF1,P3H1,,,,,,,,,,SPRY2,,,,,,GPHN,PTEN,,,,,,,,,,,,,,TERB2,,,,
,,,,,,,,,,,,,,,,,,,,IHH,P4HB,,,,,,,,,,SPTAN1,,,,,,GPN2,PTF1A,,,,,,,,,,,,,,TERF2,,,,
,,,,,,,,,,,,,,,,,,,,IKBKG,PACS1,,,,,,,,,,SPTBN1,,,,,,GPR179,PTPN11,,,,,,,,,,,,,,TET2,,,,
,,,,,,,,,,,,,,,,,,,,IKZF2,PACS2,,,,,,,,,,SRCAP,,,,,,GPRASP1,PTPN23,,,,,,,,,,,,,,TFB2M,,,,
,,,,,,,,,,,,,,,,,,,,IL11,PAFAH1B1,,,,,,,,,,SRGAP3,,,,,,GPSM2,PTPN4,,,,,,,,,,,,,,TGM1,,,,
,,,,,,,,,,,,,,,,,,,,IL11RA,PAH,,,,,,,,,,SRPRA,,,,,,GPT2,PTRH2,,,,,,,,,,,,,,THBS1,,,,
,,,,,,,,,,,,,,,,,,,,IL1RAPL1,PAK1,,,,,,,,,,SRRM2,,,,,,GRB14,PTRHD1,,,,,,,,,,,,,,THRA,,,,
,,,,,,,,,,,,,,,,,,,,INPP4A,PAK3,,,,,,,,,,SRSF1,,,,,,GRHL3,PTS,,,,,,,,,,,,,,TLE3,,,,
,,,,,,,,,,,,,,,,,,,,INPP5E,PALB2,,,,,,,,,,SRSF11,,,,,,GRIA1,PUF60,,,,,,,,,,,,,,TLK2,,,,
,,,,,,,,,,,,,,,,,,,,INPP5K,PARN,,,,,,,,,,SSR4,,,,,,GRIA2,PUM1,,,,,,,,,,,,,,TLN2,,,,
,,,,,,,,,,,,,,,,,,,,INPPL1,PARS2,,,,,,,,,,SSRP1,,,,,,GRIA3,PURA,,,,,,,,,,,,,,TM4SF19,,,,
,,,,,,,,,,,,,,,,,,,,INTS1,PAX1,,,,,,,,,,ST7,,,,,,GRIA4,PUS1,,,,,,,,,,,,,,TM9SF4,,,,
,,,,,,,,,,,,,,,,,,,,INTS11,PAX2,,,,,,,,,,ST8SIA2,,,,,,GRID2,PUS3,,,,,,,,,,,,,,TMEM134,,,,
,,,,,,,,,,,,,,,,,,,,IPO8,PAX3,,,,,,,,,,STAG1,,,,,,GRIK2,PUS7,,,,,,,,,,,,,,TMEM39B,,,,
,,,,,,,,,,,,,,,,,,,,IQSEC1,PAX6,,,,,,,,,,STK39,,,,,,GRIN1,PYCR1,,,,,,,,,,,,,,TMLHE,,,,
,,,,,,,,,,,,,,,,,,,,IQSEC2,PAX8,,,,,,,,,,STX1A,,,,,,GRIN2A,PYCR2,,,,,,,,,,,,,,TNPO3,,,,
,,,,,,,,,,,,,,,,,,,,IREB2,PBX1,,,,,,,,,,STXBP1,,,,,,GRIN2B,QARS,,,,,,,,,,,,,,TNRC6B,,,,
,,,,,,,,,,,,,,,,,,,,IRF2BPL,PC,,,,,,,,,,STXBP5,,,,,,GRIN2D,QDPR,,,,,,,,,,,,,,TNRC6C,,,,
,,,,,,,,,,,,,,,,,,,,IRF6,PCARE,,,,,,,,,,STYK1,,,,,,GRIP1,QRICH1,,,,,,,,,,,,,,TNS2,,,,
,,,,,,,,,,,,,,,,,,,,IRX5,PCCA,,,,,,,,,,SUPT16H,,,,,,GRM1,RAB11A,,,,,,,,,,,,,,TOP2B,,,,
,,,,,,,,,,,,,,,,,,,,ITCH,PCCB,,,,,,,,,,SYAP1,,,,,,GRM6,RAB11B,,,,,,,,,,,,,,TOP3B,,,,
,,,,,,,,,,,,,,,,,,,,ITGA3,PCDH12,,,,,,,,,,SYBU,,,,,,GRM7,RAB18,,,,,,,,,,,,,,TPO,,,,
,,,,,,,,,,,,,,,,,,,,ITGA6,PCDH19,,,,,,,,,,SYCE1,,,,,,GRN,RAB23,,,,,,,,,,,,,,TRAF7,,,,
,,,,,,,,,,,,,,,,,,,,ITGA7,PCDHGC4,,,,,,,,,,SYN1,,,,,,GSPT2,RAB39B,,,,,,,,,,,,,,TRAP1,,,,
,,,,,,,,,,,,,,,,,,,,ITGA8,PCGF2,,,,,,,,,,SYN2,,,,,,GSS,RAB3GAP1,,,,,,,,,,,,,,TRAPPC2L,,,,
,,,,,,,,,,,,,,,,,,,,ITPR1,PCNT,,,,,,,,,,SYNCRIP,,,,,,GSX2,RAB3GAP2,,,,,,,,,,,,,,TRAPPC9,,,,
,,,,,,,,,,,,,,,,,,,,IVD,PCYT1A,,,,,,,,,,SYNE1,,,,,,GTF2E2,RAB5C,,,,,,,,,,,,,,TRIM23,,,,
,,,,,,,,,,,,,,,,,,,,JAG1,PCYT2,,,,,,,,,,SYNGAP1,,,,,,GTF2H5,RAC1,,,,,,,,,,,,,,TRIM32,,,,
,,,,,,,,,,,,,,,,,,,,JAG2,PDCD10,,,,,,,,,,SYNJ1,,,,,,GTF2I,RAC3,,,,,,,,,,,,,,TRIM33,,,,
,,,,,,,,,,,,,,,,,,,,JAGN1,PDE10A,,,,,,,,,,SYP,,,,,,GTF3C3,RAD21,,,,,,,,,,,,,,TRIM8,,,,
,,,,,,,,,,,,,,,,,,,,JAK3,PDE4D,,,,,,,,,,SYT1,,,,,,GTF3C5,RAF1,,,,,,,,,,,,,,TRIO,,,,
,,,,,,,,,,,,,,,,,,,,JAM3,PDE6G,,,,,,,,,,SYT17,,,,,,GTPBP1,RAI1,,,,,,,,,,,,,,TRIP12,,,,
,,,,,,,,,,,,,,,,,,,,JARID2,PDE6H,,,,,,,,,,TAF1,,,,,,GTPBP2,RALA,,,,,,,,,,,,,,TRPC4,,,,
,,,,,,,,,,,,,,,,,,,,JMJD1C,PDGFRB,,,,,,,,,,TAF1C,,,,,,GTPBP3,RALGAPA1,,,,,,,,,,,,,,TRPC5,,,,
,,,,,,,,,,,,,,,,,,,,JPH1,PDHA1,,,,,,,,,,TAF4,,,,,,GTPBP8,RAP1B,,,,,,,,,,,,,,TRPC6,,,,
,,,,,,,,,,,,,,,,,,,,KANK1,PDHX,,,,,,,,,,TAF6,,,,,,GUCY2C,RARB,,,,,,,,,,,,,,TRPM1,,,,
,,,,,,,,,,,,,,,,,,,,KANSL1,PEPD,,,,,,,,,,TANC2,,,,,,GUSB,RARS,,,,,,,,,,,,,,TRPM6,,,,
,,,,,,,,,,,,,,,,,,,,KARS1,PET100,,,,,,,,,,TAOK1,,,,,,GYS2,RARS2,,,,,,,,,,,,,,TRPM7,,,,
,,,,,,,,,,,,,,,,,,,,KAT5,PEX1,,,,,,,,,,TAOK2,,,,,,H3F3A,RBBP5,,,,,,,,,,,,,,TRRAP,,,,
,,,,,,,,,,,,,,,,,,,,KAT6A,PEX10,,,,,,,,,,TBC1D23,,,,,,H3F3B,RBBP8,,,,,,,,,,,,,,TSC1,,,,
,,,,,,,,,,,,,,,,,,,,KAT6B,PEX11B,,,,,,,,,,TBC1D31,,,,,,HACE1,RBL2,,,,,,,,,,,,,,TSC2,,,,
,,,,,,,,,,,,,,,,,,,,KATNB1,PEX12,,,,,,,,,,TBC1D5,,,,,,HADH,RBM10,,,,,,,,,,,,,,TSHZ1,,,,
,,,,,,,,,,,,,,,,,,,,KBTBD13,PEX13,,,,,,,,,,TBCB,,,,,,HADHA,RBSN,,,,,,,,,,,,,,TSHZ3,,,,
,,,,,,,,,,,,,,,,,,,,KCNA1,PEX14,,,,,,,,,,TBCEL,,,,,,HADHB,RELN,,,,,,,,,,,,,,TSPAN17,,,,
,,,,,,,,,,,,,,,,,,,,KCNA2,PEX16,,,,,,,,,,TBCK,,,,,,HARS,RERE,,,,,,,,,,,,,,TSPAN4,,,,
,,,,,,,,,,,,,,,,,,,,KCNA4,PEX19,,,,,,,,,,TBL1X,,,,,,HARS2,RFT1,,,,,,,,,,,,,,TSPAN7,,,,
,,,,,,,,,,,,,,,,,,,,KCNB1,PEX2,,,,,,,,,,TBL1XR1,,,,,,HAUS7,RFX3,,,,,,,,,,,,,,TSPOAP1,,,,
,,,,,,,,,,,,,,,,,,,,KCNB2,PEX26,,,,,,,,,,TBR1,,,,,,HAX1,RFX4,,,,,,,,,,,,,,TSPYL2,,,,
,,,,,,,,,,,,,,,,,,,,KCNC1,PEX3,,,,,,,,,,TBX1,,,,,,HCCS,RFX7,,,,,,,,,,,,,,TTN,,,,
,,,,,,,,,,,,,,,,,,,,KCNC3,PEX5,,,,,,,,,,TBX22,,,,,,HCFC1,RHOBTB2,,,,,,,,,,,,,,TUBGCP5,,,,
,,,,,,,,,,,,,,,,,,,,KCND2,PEX6,,,,,,,,,,TCEAL1,,,,,,HCN1,RIT1,,,,,,,,,,,,,,U2AF2,,,,
,,,,,,,,,,,,,,,,,,,,KCND3,PEX7,,,,,,,,,,TCF12,,,,,,HCN2,RLIM,,,,,,,,,,,,,,UBA7,,,,
,,,,,,,,,,,,,,,,,,,,KCNE1,PGAP2,,,,,,,,,,TCF20,,,,,,HDAC3,RMND1,,,,,,,,,,,,,,UBAP2L,,,,
,,,,,,,,,,,,,,,,,,,,KCNH1,PGAP3,,,,,,,,,,TCF4,,,,,,HDAC4,RNASEH2A,,,,,,,,,,,,,,UBE2H,,,,
,,,,,,,,,,,,,,,,,,,,KCNH5,PGK1,,,,,,,,,,TCF7L2,,,,,,HDAC6,RNASEH2B,,,,,,,,,,,,,,UBE3A,,,,
,,,,,,,,,,,,,,,,,,,,KCNJ10,PGM1,,,,,,,,,,TDO2,,,,,,HDAC8,RNASEH2C,,,,,,,,,,,,,,UBE3C,,,,
,,,,,,,,,,,,,,,,,,,,KCNJ11,PGM2L1,,,,,,,,,,TECTA,,,,,,HEATR3,RNASET2,,,,,,,,,,,,,,UBN2,,,,
,,,,,,,,,,,,,,,,,,,,KCNJ6,PGM3,,,,,,,,,,TEK,,,,,,HEATR5B,RNF113A,,,,,,,,,,,,,,UBR1,,,,
,,,,,,,,,,,,,,,,,,,,KCNJ8,PHACTR1,,,,,,,,,,TERB2,,,,,,HECTD4,RNF125,,,,,,,,,,,,,,UBR3,,,,
,,,,,,,,,,,,,,,,,,,,KCNK3,PHEX,,,,,,,,,,TERF2,,,,,,HECW2,RNF13,,,,,,,,,,,,,,UBR5,,,,
,,,,,,,,,,,,,,,,,,,,KCNK4,PHF12,,,,,,,,,,TET2,,,,,,HEPACAM,RNU2-2P,,,,,,,,,,,,,,UGGT1,,,,
,,,,,,,,,,,,,,,,,,,,KCNK9,PHF21A,,,,,,,,,,TET3,,,,,,HERC1,RNU4-2,,,,,,,,,,,,,,UIMC1,,,,
,,,,,,,,,,,,,,,,,,,,KCNMA1,PHF6,,,,,,,,,,TFB2M,,,,,,HERC2,RNU5B-1,,,,,,,,,,,,,,UNC13A,,,,
,,,,,,,,,,,,,,,,,,,,KCNN2,PHGDH,,,,,,,,,,TFE3,,,,,,HESX1,RNU7-1,,,,,,,,,,,,,,UNC5D,,,,
,,,,,,,,,,,,,,,,,,,,KCNN3,PIBF1,,,,,,,,,,TGM1,,,,,,HEXA,ROBO1,,,,,,,,,,,,,,UNC79,,,,
,,,,,,,,,,,,,,,,,,,,KCNQ1,PIDD1,,,,,,,,,,THBS1,,,,,,HEXB,ROGDI,,,,,,,,,,,,,,UNC80,,,,
,,,,,,,,,,,,,,,,,,,,KCNQ2,PIEZO1,,,,,,,,,,THRA,,,,,,HGSNAT,RORA,,,,,,,,,,,,,,UPF2,,,,
,,,,,,,,,,,,,,,,,,,,KCNQ3,PIGA,,,,,,,,,,TLE3,,,,,,HIBCH,RPGRIP1L,,,,,,,,,,,,,,UPF3B,,,,
,,,,,,,,,,,,,,,,,,,,KCNQ5,PIGB,,,,,,,,,,TLK2,,,,,,HID1,RPIA,,,,,,,,,,,,,,USH2A,,,,
,,,,,,,,,,,,,,,,,,,,KCNT1,PIGG,,,,,,,,,,TLN2,,,,,,HINT1,RPL10,,,,,,,,,,,,,,USP15,,,,
,,,,,,,,,,,,,,,,,,,,KCNT2,PIGH,,,,,,,,,,TM4SF19,,,,,,HIRA,RPS6KA3,,,,,,,,,,,,,,USP24,,,,
,,,,,,,,,,,,,,,,,,,,KCTD1,PIGK,,,,,,,,,,TM4SF20,,,,,,HIST1H1E,RREB1,,,,,,,,,,,,,,USP27X,,,,
,,,,,,,,,,,,,,,,,,,,KCTD7,PIGN,,,,,,,,,,TM9SF4,,,,,,HIST1H4B,RRM2B,,,,,,,,,,,,,,USP30,,,,
,,,,,,,,,,,,,,,,,,,,KDELR2,PIGO,,,,,,,,,,TMEM134,,,,,,HIST1H4C,RSPRY1,,,,,,,,,,,,,,USP45,,,,
,,,,,,,,,,,,,,,,,,,,KDM1A,PIGS,,,,,,,,,,TMEM39B,,,,,,HIST1H4D,RSRC1,,,,,,,,,,,,,,USP7,,,,
,,,,,,,,,,,,,,,,,,,,KDM2B,PIGT,,,,,,,,,,TMLHE,,,,,,HIST1H4E,RTEL1,,,,,,,,,,,,,,USP9X,,,,
,,,,,,,,,,,,,,,,,,,,KDM3B,PIGV,,,,,,,,,,TNPO3,,,,,,HIST1H4F,RTN4IP1,,,,,,,,,,,,,,USP9Y,,,,
,,,,,,,,,,,,,,,,,,,,KDM4B,PIGY,,,,,,,,,,TNRC6B,,,,,,HIST1H4I,RTTN,,,,,,,,,,,,,,VASH1,,,,
,,,,,,,,,,,,,,,,,,,,KDM5A,PIK3R1,,,,,,,,,,TNRC6C,,,,,,HIST1H4J,SAMD9,,,,,,,,,,,,,,VCP,,,,
,,,,,,,,,,,,,,,,,,,,KDM5B,PIK3R2,,,,,,,,,,TNS2,,,,,,HIST3H3,SAMHD1,,,,,,,,,,,,,,VDR,,,,
,,,,,,,,,,,,,,,,,,,,KDM5C,PITX1,,,,,,,,,,TOP2B,,,,,,HIVEP2,SARS,,,,,,,,,,,,,,VEZF1,,,,
,,,,,,,,,,,,,,,,,,,,KDM6A,PITX2,,,,,,,,,,TOP3B,,,,,,HK1,SARS2,,,,,,,,,,,,,,VIL1,,,,
,,,,,,,,,,,,,,,,,,,,KDM6B,PITX3,,,,,,,,,,TPO,,,,,,HLCS,SATB1,,,,,,,,,,,,,,VPS13B,,,,
,,,,,,,,,,,,,,,,,,,,KIAA0586,PKD1L1,,,,,,,,,,TRAF7,,,,,,HMGB1,SATB2,,,,,,,,,,,,,,VPS54,,,,
,,,,,,,,,,,,,,,,,,,,KIDINS220,PKHD1,,,,,,,,,,TRAP1,,,,,,HMGB3,SBF1,,,,,,,,,,,,,,VSIG4,,,,
,,,,,,,,,,,,,,,,,,,,KIF11,PLA2G6,,,,,,,,,,TRAPPC2L,,,,,,HMGCL,SC5D,,,,,,,,,,,,,,VWA7,,,,
,,,,,,,,,,,,,,,,,,,,KIF14,PLAA,,,,,,,,,,TRAPPC6B,,,,,,HMGCS2,SCAF4,,,,,,,,,,,,,,WAC,,,,
,,,,,,,,,,,,,,,,,,,,KIF1A,PLAG1,,,,,,,,,,TRAPPC9,,,,,,HMGXB4,SCAMP5,,,,,,,,,,,,,,WDFY3,,,,
