gene_set_id,phenotype,gene_count,definition,source_id,source_title,source_release,source_url,source_retrieved_date,source_usage_note,catalog_release
legacy_sfari_score12,ASD,952,Exact legacy SFARI score-1-or-2 list,sfari_2026_01_legacy,SFARI export used by the legacy pipeline,retrieved 2026-01-15,https://gene.sfari.org/tools/,2026-08-29,.,2026-08-29
panelapp_epilepsy_all,Epilepsy,914,All genes in the versioned PanelApp panel,panelapp_epilepsy_v9.73,PanelApp panel 402: Epilepsy,9.73,https://panelapp.genomicsengland.co.uk/panels/402/,2026-08-29,.,2026-08-29
panelapp_epilepsy_green,Epilepsy,632,PanelApp green/high-evidence genes,panelapp_epilepsy_v9.73,PanelApp panel 402: Epilepsy,9.73,https://panelapp.genomicsengland.co.uk/panels/402/,2026-08-29,.,2026-08-29
panelapp_intellectual_disability_all,Intellectual disability,2853,All genes in the versioned PanelApp panel,panelapp_intellectual_disability_v11.26,PanelApp panel 285: Intellectual disability,11.26,https://panelapp.genomicsengland.co.uk/panels/285/,2026-08-29,.,2026-08-29
panelapp_intellectual_disability_green,Intellectual disability,1513,PanelApp green/high-evidence genes,panelapp_intellectual_disability_v11.26,PanelApp panel 285: Intellectual disability,11.26,https://panelapp.genomicsengland.co.uk/panels/285/,2026-08-29,.,2026-08-29
schema_2022_exomewide_10,Schizophrenia,10,Ten published exome-wide significant SCHEMA genes,schema_2022,Published SCHEMA study,2022,https://pmc.ncbi.nlm.nih.gov/articles/PMC9805802/,2026-08-29,.,2026-08-29
schema_phase2_2026-04-23_bonferroni,Schizophrenia,19,Phase II meta-analysis P <= 0.05/18018,schema_phase2_2026-04-23,SCHEMA Phase II gene results,2026-04-23,https://schema.broadinstitute.org/,2026-08-29,Current browser terms restrict some global/exome-wide and large gene-set analyses before the updated paper.,2026-08-29
schema_phase2_2026-04-23_fdr05,Schizophrenia,51,Phase II meta-analysis Benjamini-Hochberg FDR <= 5%,schema_phase2_2026-04-23,SCHEMA Phase II gene results,2026-04-23,https://schema.broadinstitute.org/,2026-08-29,Current browser terms restrict some global/exome-wide and large gene-set analyses before the updated paper.,2026-08-29
schema_phase2_2026-05-07_bonferroni,Schizophrenia,19,Phase II meta-analysis P <= 0.05/18018,schema_phase2_2026-05-07,SCHEMA Phase II gene results,2026-05-07,https://schema.broadinstitute.org/,2026-08-29,Current browser terms restrict some global/exome-wide and large gene-set analyses before the updated paper.,2026-08-29
schema_phase2_2026-05-07_fdr05,Schizophrenia,51,Phase II meta-analysis Benjamini-Hochberg FDR <= 5%,schema_phase2_2026-05-07,SCHEMA Phase II gene results,2026-05-07,https://schema.broadinstitute.org/,2026-08-29,Current browser terms restrict some global/exome-wide and large gene-set analyses before the updated paper.,2026-08-29
schema_phase2_2026-05-26_bonferroni,Schizophrenia,19,Phase II meta-analysis P <= 0.05/18569,schema_phase2_2026-05-26,SCHEMA Phase II gene results,2026-05-26,https://schema.broadinstitute.org/,2026-08-29,Current browser terms restrict some global/exome-wide and large gene-set analyses before the updated paper.,2026-08-29
schema_phase2_2026-05-26_fdr05,Schizophrenia,50,Phase II meta-analysis Benjamini-Hochberg FDR <= 5%,schema_phase2_2026-05-26,SCHEMA Phase II gene results,2026-05-26,https://schema.broadinstitute.org/,2026-08-29,Current browser terms restrict some global/exome-wide and large gene-set analyses before the updated paper.,2026-08-29
schema_phase2_2026-07-15_bonferroni,Schizophrenia,19,Phase II meta-analysis P <= 0.05/18574,schema_phase2_2026-07-15,SCHEMA Phase II gene results,2026-07-15,https://schema.broadinstitute.org/,2026-08-29,Current browser terms restrict some global/exome-wide and large gene-set analyses before the updated paper.,2026-08-29
schema_phase2_2026-07-15_fdr05,Schizophrenia,50,Phase II meta-analysis Benjamini-Hochberg FDR <= 5%,schema_phase2_2026-07-15,SCHEMA Phase II gene results,2026-07-15,https://schema.broadinstitute.org/,2026-08-29,Current browser terms restrict some global/exome-wide and large gene-set analyses before the updated paper.,2026-08-29
schema_phase2_2026-08-07_bonferroni,Schizophrenia,19,Phase II meta-analysis P <= 0.05/18571,schema_phase2_2026-08-07,SCHEMA Phase II gene results,2026-08-07,https://schema.broadinstitute.org/,2026-08-29,Current browser terms restrict some global/exome-wide and large gene-set analyses before the updated paper.,2026-08-29
schema_phase2_2026-08-07_fdr05,Schizophrenia,50,Phase II meta-analysis Benjamini-Hochberg FDR <= 5%,schema_phase2_2026-08-07,SCHEMA Phase II gene results,2026-08-07,https://schema.broadinstitute.org/,2026-08-29,Current browser terms restrict some global/exome-wide and large gene-set analyses before the updated paper.,2026-08-29
schema_phase2_2026-08-21_bonferroni,Schizophrenia,19,Phase II meta-analysis P <= 0.05/18573,schema_phase2_2026-08-21,SCHEMA Phase II gene results,2026-08-21,https://schema.broadinstitute.org/,2026-08-29,Current browser terms restrict some global/exome-wide and large gene-set analyses before the updated paper.,2026-08-29
schema_phase2_2026-08-21_fdr05,Schizophrenia,50,Phase II meta-analysis Benjamini-Hochberg FDR <= 5%,schema_phase2_2026-08-21,SCHEMA Phase II gene results,2026-08-21,https://schema.broadinstitute.org/,2026-08-29,Current browser terms restrict some global/exome-wide and large gene-set analyses before the updated paper.,2026-08-29
sfari_all_scored,ASD,1195,All genes assigned a SFARI score,sfari_2026q2,SFARI Gene scoring,2026 Q2,https://gene-development.sfari.org/database/gene-scoring/,2026-08-29,.,2026-08-29
sfari_score_1,ASD,245,SFARI score 1,sfari_2026q2,SFARI Gene scoring,2026 Q2,https://gene-development.sfari.org/database/gene-scoring/,2026-08-29,.,2026-08-29
sfari_score_2,ASD,712,SFARI score 2,sfari_2026q2,SFARI Gene scoring,2026 Q2,https://gene-development.sfari.org/database/gene-scoring/,2026-08-29,.,2026-08-29
sfari_score_3,ASD,238,SFARI score 3,sfari_2026q2,SFARI Gene scoring,2026 Q2,https://gene-development.sfari.org/database/gene-scoring/,2026-08-29,.,2026-08-29
sfari_syndromic,ASD,312,SFARI syndromic flag,sfari_2026q2,SFARI Gene scoring,2026 Q2,https://gene-development.sfari.org/database/gene-scoring/,2026-08-29,.,2026-08-29
