catalog_release,gene_set_id,gene_set_size,phenotype,definition,gene_symbol,ensembl_gene_id,evidence,effect_direction,effect_beta,p_value,source_id,source_title,source_release,source_url,source_retrieved_date,source_usage_note,membership_notes
2026-08-29,bmi_exomewide_positive,10,BMI,Exome-wide BMI genes with positive beta,ROBO1,.,exome-wide,positive,0.24,5.6 × 10 −8,bmi_exome_2021,Exome-wide BMI burden associations,2021,https://pmc.ncbi.nlm.nih.gov/articles/PMC10275396/,2026-08-29,.,pLOF; AAF < 1%
2026-08-29,bmi_exomewide_positive,10,BMI,Exome-wide BMI genes with positive beta,SPARC,.,exome-wide,positive,0.05,1.2 × 10 −10,bmi_exome_2021,Exome-wide BMI burden associations,2021,https://pmc.ncbi.nlm.nih.gov/articles/PMC10275396/,2026-08-29,.,pLOF plus missense ( 1/5); AAF < 1 %
2026-08-29,bmi_exomewide_positive,10,BMI,Exome-wide BMI genes with positive beta,UBR2,.,exome-wide,positive,0.34,2.4 × 10 −9,bmi_exome_2021,Exome-wide BMI burden associations,2021,https://pmc.ncbi.nlm.nih.gov/articles/PMC10275396/,2026-08-29,.,pLOF; AAF < 1%
2026-08-29,epi25_dee_damaging_missense_bonferroni,1,Epilepsy,Epi25 DEE damaging_missense; Bonferroni,KDM4B,ENSG00000127663,Bonferroni,.,.,6.6397e-06,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,.
2026-08-29,epi25_dee_damaging_missense_fdr05,3,Epilepsy,Epi25 DEE damaging_missense; BH FDR <= 5%,CLCN4,ENSG00000073464,FDR<=0.05,.,.,1.8207e-05,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,.
2026-08-29,epi25_dee_damaging_missense_fdr05,3,Epilepsy,Epi25 DEE damaging_missense; BH FDR <= 5%,KDM4B,ENSG00000127663,FDR<=0.05,.,.,6.6397e-06,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,.
2026-08-29,epi25_dee_damaging_missense_fdr05,3,Epilepsy,Epi25 DEE damaging_missense; BH FDR <= 5%,SCN1A,ENSG00000144285,FDR<=0.05,.,.,1.4439e-05,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,.
2026-08-29,epi25_dee_ptv_bonferroni,6,Epilepsy,Epi25 DEE ptv; Bonferroni,ANKRD11,ENSG00000167522,Bonferroni,.,.,1.1956e-06,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,.
2026-08-29,epi25_dee_ptv_bonferroni,6,Epilepsy,Epi25 DEE ptv; Bonferroni,NEXMIF,ENSG00000050030,Bonferroni,.,.,0.0,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,.
2026-08-29,epi25_dee_ptv_bonferroni,6,Epilepsy,Epi25 DEE ptv; Bonferroni,SCN1A,ENSG00000144285,Bonferroni,.,.,6.3195e-09,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,.
2026-08-29,epi25_dee_ptv_bonferroni,6,Epilepsy,Epi25 DEE ptv; Bonferroni,STX1B,ENSG00000099365,Bonferroni,.,.,2.2855e-07,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,.
2026-08-29,epi25_dee_ptv_bonferroni,6,Epilepsy,Epi25 DEE ptv; Bonferroni,SYNGAP1,ENSG00000197283,Bonferroni,.,.,5.9462e-08,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,.
2026-08-29,epi25_dee_ptv_bonferroni,6,Epilepsy,Epi25 DEE ptv; Bonferroni,WDR45,ENSG00000196998,Bonferroni,.,.,2.3762e-07,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,.
2026-08-29,epi25_dee_ptv_fdr05,11,Epilepsy,Epi25 DEE ptv; BH FDR <= 5%,ANKRD11,ENSG00000167522,FDR<=0.05,.,.,1.1956e-06,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,.
2026-08-29,epi25_dee_ptv_fdr05,11,Epilepsy,Epi25 DEE ptv; BH FDR <= 5%,CARS2,ENSG00000134905,FDR<=0.05,.,.,4.6861e-06,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,.
2026-08-29,epi25_dee_ptv_fdr05,11,Epilepsy,Epi25 DEE ptv; BH FDR <= 5%,IQSEC2,ENSG00000124313,FDR<=0.05,.,.,2.1399e-05,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,.
2026-08-29,epi25_dee_ptv_fdr05,11,Epilepsy,Epi25 DEE ptv; BH FDR <= 5%,MECP2,ENSG00000169057,FDR<=0.05,.,.,9.4961e-06,epi25_2022,Epi25 gene results,2022-12-01,https://epi25.broadinstitute.org/,2026-08-29,.,.
